Description	lab	award	annotation_type	assay_term_name	organism	biosample_ontology	experimental_input	aliases	software_used	disease_term_id
ENCODE-rE2G predictions for common myeloid progenitor, CD34-positive; Donor: ENCDO802OIW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0001059/	ENCSR564TUY	jesse-engreitz:encode_re2g_predictions_common_myeloid_progenitor__CD34-positive_ENCSR564TUY	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for common myeloid progenitor, CD34-positive; Donor: ENCDO015OUZ	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0001059/	ENCSR639ZJI	jesse-engreitz:encode_re2g_predictions_common_myeloid_progenitor__CD34-positive_ENCSR639ZJI	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for common myeloid progenitor, CD34-positive; Donor: ENCDO147FTI	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0001059/	ENCSR735BIM	jesse-engreitz:encode_re2g_predictions_common_myeloid_progenitor__CD34-positive_ENCSR735BIM	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for common myeloid progenitor, CD34-positive; Donor: ENCDO028NGF	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0001059/	ENCSR772HUG	jesse-engreitz:encode_re2g_predictions_common_myeloid_progenitor__CD34-positive_ENCSR772HUG	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T follicular helper cell; Donor: ENCDO011KGM	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002038/	ENCSR486KKY	jesse-engreitz:encode_re2g_predictions_T_follicular_helper_cell_ENCSR486KKY	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for T-helper 9 cell; Donor: ENCDO011KGM	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002061/	ENCSR542GKI	jesse-engreitz:encode_re2g_predictions_T-helper_9_cell_ENCSR542GKI	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for glomerular endothelial cell; Donor: ENCDO248AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002188/	ENCSR000EOM	jesse-engreitz:encode_re2g_predictions_glomerular_endothelial_cell_ENCSR000EOM	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for epithelial cell of prostate; Donor: ENCDO101AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002231/	ENCSR000EPU	jesse-engreitz:encode_re2g_predictions_epithelial_cell_of_prostate_ENCSR000EPU	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for epithelial cell of esophagus; Donor: ENCDO104AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002252/	ENCSR000ENN	jesse-engreitz:encode_re2g_predictions_epithelial_cell_of_esophagus_ENCSR000ENN	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for non-pigmented ciliary epithelial cell; Donor: ENCDO105AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002304/	ENCSR000EOF	jesse-engreitz:encode_re2g_predictions_non-pigmented_ciliary_epithelial_cell_ENCSR000EOF	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for epithelial cell of proximal tubule; Donor: ENCDO103AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002306/	ENCSR000EPW	jesse-engreitz:encode_re2g_predictions_epithelial_cell_of_proximal_tubule_ENCSR000EPW	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for mammary epithelial cell; Donor: ENCDO343AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002327/	ENCSR000ENV	jesse-engreitz:encode_re2g_predictions_mammary_epithelial_cell_ENCSR000ENV	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for mammary epithelial cell; Donor: ENCDO147MBH	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002327/	ENCSR228VNQ	jesse-engreitz:encode_re2g_predictions_mammary_epithelial_cell_ENCSR228VNQ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for mammary epithelial cell; Donor: ENCDO955XOD	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002327/	ENCSR817ALC	jesse-engreitz:encode_re2g_predictions_mammary_epithelial_cell_ENCSR817ALC	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for bronchial epithelial cell; Donor: ENCDO099AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002328/	ENCSR000EPN	jesse-engreitz:encode_re2g_predictions_bronchial_epithelial_cell_ENCSR000EPN	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for bronchial epithelial cell; Donor: ENCDO106AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002328/	ENCSR000EPX	jesse-engreitz:encode_re2g_predictions_bronchial_epithelial_cell_ENCSR000EPX	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for progenitor cell of endocrine pancreas; Donor: ENCDO222AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_CL_0002351/	ENCSR169KNO	jesse-engreitz:encode_re2g_predictions_progenitor_cell_of_endocrine_pancreas_ENCSR169KNO	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for myotube; Donor: ENCDO094AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_CL_0002372/	ENCSR000EOP	jesse-engreitz:encode_re2g_predictions_myotube_ENCSR000EOP	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for CD1c-positive myeloid dendritic cell; Donor: ENCDO820BXZ	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002399/	ENCSR373BIX	jesse-engreitz:encode_re2g_predictions_CD1c-positive_myeloid_dendritic_cell_ENCSR373BIX	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for kidney epithelial cell; Donor: ENCDO810BYC	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002518/	ENCSR000EOL	jesse-engreitz:encode_re2g_predictions_kidney_epithelial_cell_ENCSR000EOL	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for amniotic epithelial cell; Donor: ENCDO102AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002536/	ENCSR000END	jesse-engreitz:encode_re2g_predictions_amniotic_epithelial_cell_ENCSR000END	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for fibroblast of the aortic adventitia; Donor: ENCDO175AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002547/	ENCSR000EMC	jesse-engreitz:encode_re2g_predictions_fibroblast_of_the_aortic_adventitia_ENCSR000EMC	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for cardiac fibroblast; Donor: ENCDO095AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002548/	ENCSR000ENH	jesse-engreitz:encode_re2g_predictions_cardiac_fibroblast_ENCSR000ENH	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for cardiac fibroblast; Donor: ENCDO230AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002548/	ENCSR000ENI	jesse-engreitz:encode_re2g_predictions_cardiac_fibroblast_ENCSR000ENI	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for cardiac fibroblast; Donor: ENCDO754GEB	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002548/	ENCSR856NXV	jesse-engreitz:encode_re2g_predictions_cardiac_fibroblast_ENCSR856NXV	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for fibroblast of the conjunctiva; Donor: ENCDO231AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002550/	ENCSR000ENK	jesse-engreitz:encode_re2g_predictions_fibroblast_of_the_conjunctiva_ENCSR000ENK	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for fibroblast of dermis; Donor: ENCDO267AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002551/	ENCSR000EPO	jesse-engreitz:encode_re2g_predictions_fibroblast_of_dermis_ENCSR000EPO	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for fibroblast of gingiva; Donor: ENCDO235AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002552/	ENCSR000ENS	jesse-engreitz:encode_re2g_predictions_fibroblast_of_gingiva_ENCSR000ENS	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for fibroblast of lung; Donor: ENCDO333AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002553/	ENCSR000EOJ	jesse-engreitz:encode_re2g_predictions_fibroblast_of_lung_ENCSR000EOJ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for fibroblast of lung; Donor: ENCDO269AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002553/	ENCSR000EPR	jesse-engreitz:encode_re2g_predictions_fibroblast_of_lung_ENCSR000EPR	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for fibroblast of mammary gland; Donor: ENCDO236AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002555/	ENCSR000ENW	jesse-engreitz:encode_re2g_predictions_fibroblast_of_mammary_gland_ENCSR000ENW	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for fibroblast of pulmonary artery; Donor: ENCDO245AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002557/	ENCSR000EOH	jesse-engreitz:encode_re2g_predictions_fibroblast_of_pulmonary_artery_ENCSR000EOH	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for fibroblast of villous mesenchyme; Donor: ENCDO253AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002558/	ENCSR000EOR	jesse-engreitz:encode_re2g_predictions_fibroblast_of_villous_mesenchyme_ENCSR000EOR	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for iris pigment epithelial cell; Donor: ENCDO100AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002565/	ENCSR000ENT	jesse-engreitz:encode_re2g_predictions_iris_pigment_epithelial_cell_ENCSR000ENT	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for renal cortical epithelial cell; Donor: ENCDO098AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002584/	ENCSR000EOK	jesse-engreitz:encode_re2g_predictions_renal_cortical_epithelial_cell_ENCSR000EOK	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for retinal pigment epithelial cell; Donor: ENCDO107AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002586/	ENCSR000EON	jesse-engreitz:encode_re2g_predictions_retinal_pigment_epithelial_cell_ENCSR000EON	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for smooth muscle cell of the brain vasculature; Donor: ENCDO229AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002590/	ENCSR000ENG	jesse-engreitz:encode_re2g_predictions_smooth_muscle_cell_of_the_brain_vasculature_ENCSR000ENG	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for astrocyte of the cerebellum; Donor: ENCDO227AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002603/	ENCSR000ENC	jesse-engreitz:encode_re2g_predictions_astrocyte_of_the_cerebellum_ENCSR000ENC	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for astrocyte of the hippocampus; Donor: ENCDO223AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002604/	ENCSR000ENA	jesse-engreitz:encode_re2g_predictions_astrocyte_of_the_hippocampus_ENCSR000ENA	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for astrocyte of the spinal cord; Donor: ENCDO224AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002606/	ENCSR000ENB	jesse-engreitz:encode_re2g_predictions_astrocyte_of_the_spinal_cord_ENCSR000ENB	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for endothelial cell of umbilical vein; Donor: ENCDO560UMK	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002618/	ENCSR000EKF	jesse-engreitz:encode_re2g_predictions_endothelial_cell_of_umbilical_vein_ENCSR000EKF	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for endothelial cell of umbilical vein; Donor: ENCDO930BXC	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002618/	ENCSR000EOQ	jesse-engreitz:encode_re2g_predictions_endothelial_cell_of_umbilical_vein_ENCSR000EOQ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for amniotic stem cell; Donor: ENCDO942PSS	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0002639/	ENCSR207TUX	jesse-engreitz:encode_re2g_predictions_amniotic_stem_cell_ENCSR207TUX	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for cardiovascular progenitor cell; Donor: ENCDO221AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_CL_0002664/	ENCSR000EMW	jesse-engreitz:encode_re2g_predictions_cardiovascular_progenitor_cell_ENCSR000EMW	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for stromal cell of bone marrow; Donor: ENCDO000AAV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0010001/	ENCSR000EMH	jesse-engreitz:encode_re2g_predictions_stromal_cell_of_bone_marrow_ENCSR000EMH	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for cardiac myoblast; Donor: ENCDO221AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_CL_0010021/	ENCSR000EMV	jesse-engreitz:encode_re2g_predictions_cardiac_myoblast_ENCSR000EMV	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for neural crest cell; Donor: ENCDO222AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_CL_0011012/	ENCSR826URD	jesse-engreitz:encode_re2g_predictions_neural_crest_cell_ENCSR826URD	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for mesothelial cell of epicardium; Donor: ENCDO222AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_CL_0011019/	ENCSR658EHM	jesse-engreitz:encode_re2g_predictions_mesothelial_cell_of_epicardium_ENCSR658EHM	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for mesothelial cell of epicardium; Donor: ENCDO222AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_CL_0011019/	ENCSR945KSP	jesse-engreitz:encode_re2g_predictions_mesothelial_cell_of_epicardium_ENCSR945KSP	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for neural progenitor cell; Donor: ENCDO222AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/in_vitro_differentiated_cells_CL_0011020/	ENCSR963ALV	jesse-engreitz:encode_re2g_predictions_neural_progenitor_cell_ENCSR963ALV	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for fibroblast of upper back skin; Donor: ENCDO576LXR	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0011021/	ENCSR325LYJ	jesse-engreitz:encode_re2g_predictions_fibroblast_of_upper_back_skin_ENCSR325LYJ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for fibroblast of upper back skin; Donor: ENCDO576LXR	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0011021/	ENCSR670VQZ	jesse-engreitz:encode_re2g_predictions_fibroblast_of_upper_back_skin_ENCSR670VQZ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for fibroblast of skin of back; Donor: ENCDO597UXW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_0011022/	ENCSR184LMY	jesse-engreitz:encode_re2g_predictions_fibroblast_of_skin_of_back_ENCSR184LMY	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for kidney tubule cell; Donor: ENCDO421EJG	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_1000507/	ENCSR257CIZ	jesse-engreitz:encode_re2g_predictions_kidney_tubule_cell_ENCSR257CIZ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for kidney tubule cell; Donor: ENCDO421EJG	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_1000507/	ENCSR175IWT	jesse-engreitz:encode_re2g_predictions_kidney_tubule_cell_ENCSR175IWT	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for kidney glomerular epithelial cell; Donor: ENCDO730EZR	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_1000510/	ENCSR136KEL	jesse-engreitz:encode_re2g_predictions_kidney_glomerular_epithelial_cell_ENCSR136KEL	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for kidney capillary endothelial cell; Donor: ENCDO987XTQ	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_1000892/	ENCSR988YKR	jesse-engreitz:encode_re2g_predictions_kidney_capillary_endothelial_cell_ENCSR988YKR	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for pulmonary artery endothelial cell; Donor: ENCDO332AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_1001568/	ENCSR000EOG	jesse-engreitz:encode_re2g_predictions_pulmonary_artery_endothelial_cell_ENCSR000EOG	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for foreskin keratinocyte; Donor: ENCDO047TBB	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_1001606/	ENCSR035RVH	jesse-engreitz:encode_re2g_predictions_foreskin_keratinocyte_ENCSR035RVH	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for foreskin keratinocyte; Donor: ENCDO686OPO	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_1001606/	ENCSR724CND	jesse-engreitz:encode_re2g_predictions_foreskin_keratinocyte_ENCSR724CND	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for foreskin fibroblast; Donor: ENCDO232AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_1001608/	ENCSR000ENQ	jesse-engreitz:encode_re2g_predictions_foreskin_fibroblast_ENCSR000ENQ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for foreskin fibroblast; Donor: ENCDO191CQJ	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_1001608/	ENCSR000EPP	jesse-engreitz:encode_re2g_predictions_foreskin_fibroblast_ENCSR000EPP	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for foreskin fibroblast; Donor: ENCDO047TBB	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_1001608/	ENCSR153LHP	jesse-engreitz:encode_re2g_predictions_foreskin_fibroblast_ENCSR153LHP	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for foreskin fibroblast; Donor: ENCDO686OPO	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_1001608/	ENCSR251UPG	jesse-engreitz:encode_re2g_predictions_foreskin_fibroblast_ENCSR251UPG	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for epidermal melanocyte; Donor: ENCDO264AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_2000000/	ENCSR000ELD	jesse-engreitz:encode_re2g_predictions_epidermal_melanocyte_ENCSR000ELD	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for dermis blood vessel endothelial cell; Donor: ENCDO239AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_2000010/	ENCSR000ENX	jesse-engreitz:encode_re2g_predictions_dermis_blood_vessel_endothelial_cell_ENCSR000ENX	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for dermis blood vessel endothelial cell; Donor: ENCDO240AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_2000010/	ENCSR000ENY	jesse-engreitz:encode_re2g_predictions_dermis_blood_vessel_endothelial_cell_ENCSR000ENY	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for dermis blood vessel endothelial cell; Donor: ENCDO241AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_2000010/	ENCSR000ENZ	jesse-engreitz:encode_re2g_predictions_dermis_blood_vessel_endothelial_cell_ENCSR000ENZ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for dermis blood vessel endothelial cell; Donor: ENCDO244AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_2000010/	ENCSR000EOC	jesse-engreitz:encode_re2g_predictions_dermis_blood_vessel_endothelial_cell_ENCSR000EOC	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for fibroblast of skin of abdomen; Donor: ENCDO576LXR	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_2000013/	ENCSR176KYD	jesse-engreitz:encode_re2g_predictions_fibroblast_of_skin_of_abdomen_ENCSR176KYD	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for fibroblast of skin of abdomen; Donor: ENCDO576LXR	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_2000013/	ENCSR622TWS	jesse-engreitz:encode_re2g_predictions_fibroblast_of_skin_of_abdomen_ENCSR622TWS	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for lung microvascular endothelial cell; Donor: ENCDO237AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_2000016/	ENCSR000EOD	jesse-engreitz:encode_re2g_predictions_lung_microvascular_endothelial_cell_ENCSR000EOD	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for lung microvascular endothelial cell; Donor: ENCDO238AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_2000016/	ENCSR000EOE	jesse-engreitz:encode_re2g_predictions_lung_microvascular_endothelial_cell_ENCSR000EOE	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for fibroblast of peridontal ligament; Donor: ENCDO247AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_2000017/	ENCSR000EOI	jesse-engreitz:encode_re2g_predictions_fibroblast_of_peridontal_ligament_ENCSR000EOI	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for dermis microvascular lymphatic vessel endothelial cell; Donor: ENCDO242AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_2000041/	ENCSR000EOA	jesse-engreitz:encode_re2g_predictions_dermis_microvascular_lymphatic_vessel_endothelial_cell_ENCSR000EOA	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for dermis microvascular lymphatic vessel endothelial cell; Donor: ENCDO243AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_2000041/	ENCSR000EOB	jesse-engreitz:encode_re2g_predictions_dermis_microvascular_lymphatic_vessel_endothelial_cell_ENCSR000EOB	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for brain pericyte; Donor: ENCDO228AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_2000043/	ENCSR000ENF	jesse-engreitz:encode_re2g_predictions_brain_pericyte_ENCSR000ENF	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for brain microvascular endothelial cell; Donor: ENCDO227AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_2000044/	ENCSR000ENE	jesse-engreitz:encode_re2g_predictions_brain_microvascular_endothelial_cell_ENCSR000ENE	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for brain microvascular endothelial cell; Donor: ENCDO227AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_2000044/	ENCSR006DKF	jesse-engreitz:encode_re2g_predictions_brain_microvascular_endothelial_cell_ENCSR006DKF	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for foreskin melanocyte; Donor: ENCDO047TBB	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/primary_cell_CL_2000045/	ENCSR434OBM	jesse-engreitz:encode_re2g_predictions_foreskin_melanocyte_ENCSR434OBM	encode:re2g_modelV2.0.0	
