Cluster	DNase_ENCODE_ID	DNase_Output_Type	thresholded_bigInteract	full_predictions	thresholded_bedpe	thresholded_predictions	thresholded_bedpe_SYNAPSE_ID	full_predictions_SYNAPSE_ID	thresholded_bigInteract_SYNAPSE_ID	thresholded_predictions_SYNAPSE_ID
CD8-positive__alpha-beta_T_cell_ENCSR424JPH	ENCFF934OOR	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR424JPH_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR424JPH_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR424JPH_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR424JPH_thresholded_predictions.tsv.gz	syn55176456	syn55176458	syn55176451	syn55176452
CD8-positive__alpha-beta_T_cell_ENCSR559QCM	ENCFF083FOQ	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR559QCM_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR559QCM_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR559QCM_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR559QCM_thresholded_predictions.tsv.gz	syn55176459	syn55176463	syn55176455	syn55176457
CD8-positive__alpha-beta_T_cell_ENCSR609DDQ	ENCFF107PCI	unfiltered alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR609DDQ_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR609DDQ_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR609DDQ_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR609DDQ_thresholded_predictions.tsv.gz	syn55176464	syn55176468	syn55176460	syn55176461
CD8-positive__alpha-beta_T_cell_ENCSR649XRC	ENCFF282TVE	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR649XRC_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR649XRC_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR649XRC_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR649XRC_thresholded_predictions.tsv.gz	syn55176469	syn55176472	syn55176466	syn55176467
CD8-positive__alpha-beta_T_cell_ENCSR662IRS	ENCFF191BAK	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR662IRS_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR662IRS_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR662IRS_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR662IRS_thresholded_predictions.tsv.gz	syn55176473	syn55176478	syn55176470	syn55176471
CD8-positive__alpha-beta_T_cell_ENCSR744UQK	ENCFF475JUX	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR744UQK_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR744UQK_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR744UQK_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR744UQK_thresholded_predictions.tsv.gz	syn55176477	syn55176483	syn55176475	syn55176476
CD8-positive__alpha-beta_T_cell_ENCSR840TVG	ENCFF376DAI	unfiltered alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR840TVG_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR840TVG_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR840TVG_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR840TVG_thresholded_predictions.tsv.gz	syn55176481	syn55176486	syn55176479	syn55176480
CD8-positive__alpha-beta_T_cell_ENCSR937NLH	ENCFF429TAJ	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR937NLH_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR937NLH_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR937NLH_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR937NLH_thresholded_predictions.tsv.gz	syn55176487	syn55176492	syn55176484	syn55176485
CD8-positive__alpha-beta_T_cell_ENCSR946BPA	ENCFF155GFU	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR946BPA_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR946BPA_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR946BPA_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR946BPA_thresholded_predictions.tsv.gz	syn55176493	syn55176496	syn55176488	syn55176489
CD8-positive__alpha-beta_T_cell_ENCSR984HIY	ENCFF409IYA	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR984HIY_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR984HIY_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR984HIY_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_CD8-positive__alpha-beta_T_cell_ENCSR984HIY_thresholded_predictions.tsv.gz	syn55176497	syn55176501	syn55176494	syn55176495
hepatic_stellate_cell_ENCSR000ELR	ENCFF450TQE	unfiltered alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_hepatic_stellate_cell_ENCSR000ELR_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_hepatic_stellate_cell_ENCSR000ELR_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_hepatic_stellate_cell_ENCSR000ELR_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_hepatic_stellate_cell_ENCSR000ELR_thresholded_predictions.tsv.gz	syn55176502	syn55176506	syn55176498	syn55176499
glomerular_visceral_epithelial_cell_ENCSR785BDQ	ENCFF766MCS, ENCFF125KLI	alignments, alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_glomerular_visceral_epithelial_cell_ENCSR785BDQ_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_glomerular_visceral_epithelial_cell_ENCSR785BDQ_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_glomerular_visceral_epithelial_cell_ENCSR785BDQ_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_glomerular_visceral_epithelial_cell_ENCSR785BDQ_thresholded_predictions.tsv.gz	syn55176507	syn55176511	syn55176503	syn55176504
glutamatergic_neuron_ENCSR109RIQ	ENCFF925BZO, ENCFF647NQR	alignments, alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_glutamatergic_neuron_ENCSR109RIQ_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_glutamatergic_neuron_ENCSR109RIQ_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_glutamatergic_neuron_ENCSR109RIQ_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_glutamatergic_neuron_ENCSR109RIQ_thresholded_predictions.tsv.gz	syn55176512	syn55176515	syn55176508	syn55176510
choroid_plexus_epithelial_cell_ENCSR000ENL	ENCFF883OCI, ENCFF727EOB	unfiltered alignments, unfiltered alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_choroid_plexus_epithelial_cell_ENCSR000ENL_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_choroid_plexus_epithelial_cell_ENCSR000ENL_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_choroid_plexus_epithelial_cell_ENCSR000ENL_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_choroid_plexus_epithelial_cell_ENCSR000ENL_thresholded_predictions.tsv.gz	syn55176516	syn55176520	syn55176513	syn55176514
cardiac_muscle_cell_ENCSR000EMY	ENCFF798CBX, ENCFF062FBQ	unfiltered alignments, unfiltered alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_cardiac_muscle_cell_ENCSR000EMY_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_cardiac_muscle_cell_ENCSR000EMY_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_cardiac_muscle_cell_ENCSR000EMY_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_cardiac_muscle_cell_ENCSR000EMY_thresholded_predictions.tsv.gz	syn55176521	syn55176524	syn55176518	syn55176519
cardiac_muscle_cell_ENCSR842KCP	ENCFF849JFJ, ENCFF852KZF	alignments, alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_cardiac_muscle_cell_ENCSR842KCP_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_cardiac_muscle_cell_ENCSR842KCP_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_cardiac_muscle_cell_ENCSR842KCP_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_cardiac_muscle_cell_ENCSR842KCP_thresholded_predictions.tsv.gz	syn55176525	syn55176529	syn55176522	syn55176523
cardiac_muscle_cell_ENCSR000ENJ	ENCFF405BAG, ENCFF638HIX	unfiltered alignments, unfiltered alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_cardiac_muscle_cell_ENCSR000ENJ_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_cardiac_muscle_cell_ENCSR000ENJ_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_cardiac_muscle_cell_ENCSR000ENJ_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_cardiac_muscle_cell_ENCSR000ENJ_thresholded_predictions.tsv.gz	syn55176530	syn55176533	syn55176527	syn55176528
memory_B_cell_ENCSR229BGG	ENCFF731UJO	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_memory_B_cell_ENCSR229BGG_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_memory_B_cell_ENCSR229BGG_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_memory_B_cell_ENCSR229BGG_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_memory_B_cell_ENCSR229BGG_thresholded_predictions.tsv.gz	syn55176536	syn55176540	syn55176531	syn55176532
memory_B_cell_ENCSR736VVP	ENCFF784VSB	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_memory_B_cell_ENCSR736VVP_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_memory_B_cell_ENCSR736VVP_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_memory_B_cell_ENCSR736VVP_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_memory_B_cell_ENCSR736VVP_thresholded_predictions.tsv.gz	syn55176539	syn55176547	syn55176537	syn55176538
naive_B_cell_ENCSR000ELG	ENCFF392OAH	unfiltered alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_naive_B_cell_ENCSR000ELG_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_naive_B_cell_ENCSR000ELG_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_naive_B_cell_ENCSR000ELG_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_naive_B_cell_ENCSR000ELG_thresholded_predictions.tsv.gz	syn55176544	syn55176550	syn55176541	syn55176542
naive_B_cell_ENCSR011VHK	ENCFF528VKG	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_naive_B_cell_ENCSR011VHK_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_naive_B_cell_ENCSR011VHK_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_naive_B_cell_ENCSR011VHK_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_naive_B_cell_ENCSR011VHK_thresholded_predictions.tsv.gz	syn55176548	syn55176553	syn55176545	syn55176546
naive_B_cell_ENCSR017SBI	ENCFF052ZPU	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_naive_B_cell_ENCSR017SBI_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_naive_B_cell_ENCSR017SBI_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_naive_B_cell_ENCSR017SBI_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_naive_B_cell_ENCSR017SBI_thresholded_predictions.tsv.gz	syn55176554	syn55176558	syn55176551	syn55176552
naive_B_cell_ENCSR184TUE	ENCFF967UEJ	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_naive_B_cell_ENCSR184TUE_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_naive_B_cell_ENCSR184TUE_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_naive_B_cell_ENCSR184TUE_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_naive_B_cell_ENCSR184TUE_thresholded_predictions.tsv.gz	syn55176559	syn55176562	syn55176556	syn55176557
naive_B_cell_ENCSR326TID	ENCFF677UZD	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_naive_B_cell_ENCSR326TID_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_naive_B_cell_ENCSR326TID_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_naive_B_cell_ENCSR326TID_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_naive_B_cell_ENCSR326TID_thresholded_predictions.tsv.gz	syn55176563	syn55176569	syn55176560	syn55176561
naive_B_cell_ENCSR480SNC	ENCFF078AUZ	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_naive_B_cell_ENCSR480SNC_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_naive_B_cell_ENCSR480SNC_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_naive_B_cell_ENCSR480SNC_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_naive_B_cell_ENCSR480SNC_thresholded_predictions.tsv.gz	syn55176568	syn55176574	syn55176565	syn55176566
naive_B_cell_ENCSR739VKY	ENCFF840FIU	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_naive_B_cell_ENCSR739VKY_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_naive_B_cell_ENCSR739VKY_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_naive_B_cell_ENCSR739VKY_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_naive_B_cell_ENCSR739VKY_thresholded_predictions.tsv.gz	syn55176572	syn55176578	syn55176570	syn55176571
naive_B_cell_ENCSR796PIM	ENCFF131MPK	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_naive_B_cell_ENCSR796PIM_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_naive_B_cell_ENCSR796PIM_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_naive_B_cell_ENCSR796PIM_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_naive_B_cell_ENCSR796PIM_thresholded_predictions.tsv.gz	syn55176577	syn55176584	syn55176575	syn55176576
CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR000EQJ	ENCFF609IPF	unfiltered alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR000EQJ_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR000EQJ_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR000EQJ_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR000EQJ_thresholded_predictions.tsv.gz	syn55176582	syn55176588	syn55176579	syn55176580
CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR000EQK	ENCFF452UFZ	unfiltered alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR000EQK_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR000EQK_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR000EQK_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR000EQK_thresholded_predictions.tsv.gz	syn55176587	syn55176591	syn55176585	syn55176586
CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR042WQA	ENCFF575MJC	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR042WQA_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR042WQA_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR042WQA_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR042WQA_thresholded_predictions.tsv.gz	syn55176592	syn55176598	syn55176589	syn55176590
CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR398CXD	ENCFF560EBB	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR398CXD_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR398CXD_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR398CXD_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR398CXD_thresholded_predictions.tsv.gz	syn55176596	syn55176602	syn55176594	syn55176595
CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR534RXN	ENCFF363YTA	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR534RXN_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR534RXN_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR534RXN_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR534RXN_thresholded_predictions.tsv.gz	syn55176601	syn55176607	syn55176597	syn55176599
immature_natural_killer_cell_ENCSR012RCX	ENCFF223ULN	alignments	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bigInteract/encode_e2g_predictions_immature_natural_killer_cell_ENCSR012RCX_thresholded_predictions.bigInteract	/scratch/users/agschwin/encode_re2g/dhs_only/full_predictions/encode_e2g_predictions_immature_natural_killer_cell_ENCSR012RCX_full_predictions.tsv.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_bedpe/encode_e2g_predictions_immature_natural_killer_cell_ENCSR012RCX_thresholded_predictions.bedpe.gz	/scratch/users/agschwin/encode_re2g/dhs_only/thresholded_predictions/encode_e2g_predictions_immature_natural_killer_cell_ENCSR012RCX_thresholded_predictions.tsv.gz	syn55176606	syn55176610	syn55176604	syn55176605
